item_id,part_id,part_type,part_name,frame,new_sprite_id,source_sprite_id,dx,dy,width,height,file
391,204,0,head,0,2095,1702,-2,-2,22,23,Small2095.png
391,204,0,head,1,2096,1703,-3,-1,24,21,Small2096.png
391,204,0,head,2,2097,1704,-3,-1,25,21,Small2097.png
391,204,0,head,3,2098,1705,-4,0,26,22,Small2098.png
391,205,1,body,0,2099,1706,0,1,14,13,Small2099.png
391,205,1,body,1,2100,1707,0,-1,15,11,Small2100.png
391,205,1,body,2,2101,1708,0,0,21,9,Small2101.png
391,205,1,body,3,2102,1709,0,0,15,10,Small2102.png
391,205,1,body,4,2103,1710,0,0,19,9,Small2103.png
391,205,1,body,5,2104,1711,0,0,15,10,Small2104.png
391,205,1,body,6,2105,1712,0,-3,20,12,Small2105.png
391,205,1,body,7,2106,1713,0,-4,20,15,Small2106.png
391,205,1,body,8,2107,1714,0,-4,18,16,Small2107.png
391,205,1,body,9,2108,1715,0,-3,15,20,Small2108.png
391,206,2,leg,0,2109,1726,3,-1,8,13,Small2109.png
391,206,2,leg,1,2110,1717,0,0,14,12,Small2110.png
391,206,2,leg,2,2111,1718,0,0,20,10,Small2111.png
391,206,2,leg,3,2112,1719,0,0,14,10,Small2112.png
391,206,2,leg,4,2113,1720,0,0,21,10,Small2113.png
391,206,2,leg,5,2114,1721,0,0,16,10,Small2114.png
391,206,2,leg,6,2115,1722,0,0,17,11,Small2115.png
391,206,2,leg,7,2116,1723,0,0,17,9,Small2116.png
391,206,2,leg,8,2117,1724,0,0,13,9,Small2117.png
391,206,2,leg,9,2118,1725,0,0,11,8,Small2118.png
